referencia_normalizada,tipo_discrepancia,transaccion_id,fecha_interna,fecha_procesador,monto_interno,monto_procesador,diferencia_monto,estado_interno,estado_procesador
PX-10035,estado,44,2026-05-01 00:00:00,2026-05-01 00:00:00,37264.81,37264.81,0.0,pendiente,rechazada
PX-10045,estado,57,2026-04-03 00:00:00,2026-04-03 00:00:00,56443.43,56443.43,0.0,pendiente,rechazada
PX-10049,monto,66,2026-04-24 00:00:00,2026-04-24 00:00:00,85414.54,85414.55,0.010000000009313226,aprobada,aprobada
PX-10060,monto,78,2026-05-31 00:00:00,2026-05-31 00:00:00,176885.48,176785.48,100.0,aprobada,aprobada
PX-10072,monto,94,2026-04-25 00:00:00,2026-04-25 00:00:00,58773.83,58673.83,100.0,aprobada,aprobada
PX-10117,estado,158,2026-04-22 00:00:00,2026-04-22 00:00:00,91392.7,91392.7,0.0,pendiente,rechazada
PX-10139,monto,184,2026-05-11 00:00:00,2026-05-11 00:00:00,137724.29,137624.29,100.0,aprobada,aprobada
PX-10145,estado,191,2026-06-20 00:00:00,2026-06-20 00:00:00,125892.0,125892.0,0.0,pendiente,rechazada
PX-10158,estado,207,2026-06-28 00:00:00,2026-06-28 00:00:00,66749.84,66749.84,0.0,pendiente,rechazada
PX-10160,estado,212,2026-06-18 00:00:00,2026-06-18 00:00:00,139742.62,139742.62,0.0,pendiente,rechazada
PX-10169,estado,224,2026-05-22 00:00:00,2026-05-22 00:00:00,100507.9,100507.9,0.0,pendiente,rechazada
PX-10172,estado,227,2026-05-10 00:00:00,2026-05-10 00:00:00,92202.2,92202.2,0.0,pendiente,rechazada
PX-10185,monto; estado,244,2026-05-09 00:00:00,2026-05-09 00:00:00,228727.92,228740.42,12.5,pendiente,rechazada
PX-10193,estado,252,2026-06-03 00:00:00,2026-06-03 00:00:00,64703.03,64703.03,0.0,pendiente,rechazada
PX-10212,estado,274,2026-05-19 00:00:00,2026-05-19 00:00:00,203961.13,203961.13,0.0,pendiente,rechazada
PX-10230,monto,299,2026-05-28 00:00:00,2026-05-28 00:00:00,110047.94,110047.93,0.010000000009313226,aprobada,aprobada
