referencia,fecha_liquidacion,monto,estado
PX-10299,2026-05-15,187365.80,OK
PX-11052,2026-05-09,168788.09,OK
PX-11112,2026-04-05,"158154,12",FALLIDA
PX-10239,2026-06-23,"53748,58",FALLIDA
PX-10337,2026-04-19,67111.08,FALLIDA
PX-10532,2026-06-03,13979.89,OK
PX-10039,2026-05-28,191570.51,OK
PX-10740,2026-06-22,211810.24,OK
PX-10531,2026-06-04,69468.43,FALLIDA
PX-10297,2026-05-29,68857.39,OK
PX-10000,2026-05-11,221228.45,OK
PX-10929,2026-06-24,240717.73,OK
PX-10648,2026-06-11,157666.57,FALLIDA
PX-11017,2026-04-19,111128.02,OK
PX-10883,2026-04-28,194988.88,OK
PX-10294,2026-04-18,"67720,29",OK
PX-10863,2026-06-29,102891.51,OK
PX-10900,2026-05-21,13762.69,OK
PX-10443,2026-04-09,216138.43,FALLIDA
PX-11097,2026-04-17,217703.73,OK
PX-10829,2026-05-17,"44927,91",OK
PX-10099,2026-04-07,26348.34,OK
PX-10791,2026-06-26,"119477,04",OK
PX-10495,2026-04-23,171534.42,OK
PX-10527,2026-04-06,30626.00,OK
PX-10830,2026-06-25,87422.23,FALLIDA
PX-10717,2026-05-31,159931.32,OK
PX-10271,2026-04-08,243507.98,OK
PX-10964,2026-04-30,231466.38,FALLIDA
PX-11123,2026-06-09,"18065,48",FALLIDA
PX-10398,2026-05-04,"67717,35",OK
PX-10809,2026-04-20,70644.14,OK
PX-10639,2026-06-20,"184401,04",OK
PX-10612,2026-04-18,78773.59,OK
PX-10905,2026-04-09,35887.50,OK
PX-10124,2026-06-10,"28241,12",OK
PX-11110,2026-05-22,62819.81,OK
PX-10431,2026-04-03,2138.92,OK
PX-10826,2026-04-21,"61330,31",OK
PX-11140,2026-04-09,236864.11,OK
PX-10311,2026-05-09,34772.63,OK
PX-10169,2026-05-22,100507.90,FALLIDA
PX-10312,2026-04-19,194845.82,OK
PX-11024,2026-06-20,237441.45,OK
PX-10895,2026-05-12,66321.10,OK
PX-10598,2026-06-12,91386.53,OK
PX-10889,2026-05-11,74961.73,OK
PX-10637,2026-06-23,210601.38,OK
PX-10383,2026-06-01,63817.52,OK
PX-10914,2026-04-07,196423.19,FALLIDA
PX-10594,2026-06-08,"74681,41",OK
PX-10350,2026-05-26,6426.36,OK
PX-10506,2026-06-05,105543.52,OK
PX-10783,2026-05-27,130905.23,OK
PX-10466,2026-04-08,213530.41,OK
PX-10794,2026-05-25,"76644,26",FALLIDA
PX-10415,2026-04-08,"136026,39",FALLIDA
PX-10412,2026-05-29,47353.47,OK
PX-10043,2026-06-08,122313.25,OK
PX-10898,2026-06-22,186383.99,FALLIDA
PX-10130,2026-04-26,129088.21,OK
PX-10579,2026-04-18,139504.46,OK
PX-10982,2026-04-28,139655.42,OK
PX-10525,2026-06-23,61049.30,OK
PX-10734,2026-04-16,81180.27,OK
PX-10966,2026-06-13,225030.68,OK
PX-10164,2026-06-07,25499.39,OK
PX-10181,2026-06-04,"144579,97",OK
PX-10251,2026-05-18,"183367,49",FALLIDA
PX-10739,2026-05-27,69892.55,OK
PX-10250,2026-04-18,238177.54,OK
PX-10572,2026-06-01,35183.99,FALLIDA
PX-10179,2026-04-17,189166.76,OK
PX-10205,2026-05-19,21880.68,OK
PX-10449,2026-06-14,215715.62,OK
PX-10044,2026-06-12,34357.02,OK
PX-10814,2026-05-14,133622.61,OK
PX-10104,2026-06-24,103838.84,OK
PX-11065,2026-06-06,141103.09,OK
PX-10508,2026-06-19,32141.92,FALLIDA
PX-10981,2026-06-24,61855.48,FALLIDA
PX-10491,2026-06-17,"101718,65",OK
PX-10997,2026-04-11,131089.71,OK
PX-11075,2026-04-10,21304.86,OK
PX-10856,2026-05-28,"46327,53",FALLIDA
PX-10968,2026-04-17,226112.97,OK
PX-10954,2026-05-03,31514.45,OK
PX-10003,2026-05-04,"217694,38",OK
PX-10704,2026-06-05,181960.99,OK
PX-10054,2026-06-16,74413.49,OK
PX-10876,2026-04-20,224693.81,OK
PX-11062,2026-05-20,"220897,58",OK
PX-10237,2026-04-07,4562.20,OK
PX-11114,2026-05-04,160752.03,OK
PX-10650,2026-05-27,61706.36,OK
PX-99008,2026-05-09,86550.17,OK
PX-10597,2026-06-05,220283.69,OK
PX-10100,2026-06-18,152444.23,OK
PX-10721,2026-06-07,115321.04,OK
PX-10267,2026-05-16,70323.71,OK
PX-99012,2026-05-13,36207.38,OK
PX-10910,2026-05-13,77676.16,OK
PX-10822,2026-05-23,"156675,85",OK
PX-10240,2026-04-02,247044.65,OK
PX-10774,2026-05-07,175426.61,OK
PX-10016,2026-04-24,101242.00,OK
PX-10150,2026-05-12,190898.78,OK
PX-10498,2026-04-01,27869.73,OK
PX-10400,2026-06-27,201119.85,FALLIDA
PX-10360,2026-05-13,141605.23,OK
PX-10684,2026-05-20,31628.58,OK
PX-10293,2026-04-03,78081.85,FALLIDA
PX-10180,2026-04-05,60546.24,OK
PX-10118,2026-05-28,241416.36,FALLIDA
PX-10566,2026-06-21,104580.61,OK
PX-10554,2026-06-08,"40733,05",FALLIDA
PX-10244,2026-04-25,196058.50,OK
PX-11003,2026-04-18,2950.39,OK
PX-10961,2026-04-28,164436.30,OK
PX-10261,2026-04-14,101924.88,FALLIDA
